Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL_log_return,MSFT_log_return,AMZN_log_return,NVDA_log_return,GOOGL_log_return,META_log_return,TSLA_log_return,Mom,Mkt-RF,RF,AAPL_excess_return,MSFT_excess_return,AMZN_excess_return,NVDA_excess_return,GOOGL_excess_return,META_excess_return,TSLA_excess_return
2012-05-21,16.89093589782715,10.905500411987305,15.294994354248047,33.87036895751953,23.733110427856445,0.2817484736442566,1.9179999828338623,0.056626057958015785,0.016266050370442375,0.01972471508586615,0.017234779231033226,0.022577940172501698,-0.11637804858983092,0.04296792351472567,-0.0060999999999999995,0.0169,0.0,0.056626057958015785,0.016266050370442375,0.01972471508586615,0.017234779231033226,0.022577940172501698,-0.11637804858983092,0.04296792351472567
2012-05-22,16.761234283447266,10.766500473022461,14.963495254516602,30.854581832885742,23.741092681884766,0.27830976247787476,2.053333044052124,-0.007708403702596289,0.00033627753940779215,-0.01282778140852825,-0.012279988605047976,-0.02191202321422514,-0.09325530108511604,0.0681813804823761,0.0042,0.0,0.0,-0.007708403702596289,0.00033627753940779215,-0.01282778140852825,-0.012279988605047976,-0.02191202321422514,-0.09325530108511604,0.0681813804823761
2012-05-23,17.170202255249023,10.86400032043457,15.179180145263672,31.849891662597656,23.222553253173828,0.28518715500831604,2.068000078201294,0.024106717472477612,-0.022083485712069528,0.009015094812242275,0.024410902097134812,0.014311176368491552,0.031748721496088095,0.007117646467518113,-0.0040999999999999995,0.0026,0.0,0.024106717472477612,-0.022083485712069528,0.009015094812242275,0.024410902097134812,0.014311176368491552,0.031748721496088095,0.007117646467518113
2012-05-24,17.012516021728516,10.76200008392334,15.0347261428833,32.87506103515625,23.190637588500977,0.2776219844818115,2.018666982650757,-0.009226144672588976,-0.0013752844449839152,-0.00943318144607641,-0.02688522866949805,-0.009562159998723008,0.031680366554816874,-0.024144610463007088,0.0076,0.0016,0.0,-0.009226144672588976,-0.0013752844449839152,-0.00943318144607641,-0.02688522866949805,-0.009562159998723008,0.031680366554816874,-0.024144610463007088
2012-05-25,16.921327590942383,10.644499778747559,14.732616424560547,31.76031494140625,23.182659149169922,0.2842702865600586,1.987333059310913,-0.005374495817602742,-0.0003440962782921275,-0.010978112817300989,0.023665078492828284,-0.020298761369139662,-0.034496794458006796,-0.015643815294831942,-0.0054,-0.0016,0.0,-0.005374495817602742,-0.0003440962782921275,-0.010978112817300989,0.023665078492828284,-0.020298761369139662,-0.034496794458006796,-0.015643815294831942
2012-05-29,17.221662521362305,10.737500190734863,14.802602767944336,28.704713821411133,23.5815372467041,0.29160627722740173,2.1126670837402344,0.01759322637363825,0.017059537079549436,0.008698999025762433,0.02547902793680601,0.004739187741801043,-0.10115619869352654,0.061157601313017285,-0.0077,0.011399999999999999,0.0,0.01759322637363825,0.017059537079549436,0.008698999025762433,0.02547902793680601,0.004739187741801043,-0.10115619869352654,0.061157601313017285
2012-05-30,17.429306030273438,10.46150016784668,14.65042781829834,28.05776596069336,23.406034469604492,0.28816747665405273,2.0273330211639404,0.011985003772348346,-0.00747021337072562,-0.02604043723241123,-0.011862699464896043,-0.010333490356069674,-0.022795898933903658,-0.041230023409546956,0.011899999999999999,-0.0147,0.0,0.011985003772348346,-0.00747021337072562,-0.02604043723241123,-0.011862699464896043,-0.010333490356069674,-0.022795898933903658,-0.041230023409546956
2012-05-31,17.38597297668457,10.645500183105469,14.466870307922363,29.461149215698242,23.28636932373047,0.2849580943584442,1.9666670560836792,-0.0024893137267101295,-0.005125690611152756,0.01743541700988427,-0.011199695162040335,-0.01260830872723906,0.04880696463856404,-0.03038088635455738,0.0017000000000000001,-0.0023,0.0,-0.0024893137267101295,-0.005125690611152756,0.01743541700988427,-0.011199695162040335,-0.01260830872723906,0.04880696463856404,-0.03038088635455738
2012-06-01,16.882204055786133,10.41100025177002,14.220799446105957,27.589969635009766,22.696029663085938,0.2746417224407196,1.8766670227050781,-0.029403677671690165,-0.025678177342873365,-0.022274321175586476,-0.03687471135810538,-0.01715558629017666,-0.06562013198300898,-0.04684291705020949,0.0001,-0.026000000000000002,0.0,-0.029403677671690165,-0.025678177342873365,-0.022274321175586476,-0.03687471135810538,-0.01715558629017666,-0.06562013198300898,-0.04684291705020949
2012-06-04,16.98151397705078,10.728500366210938,14.410333633422852,26.77381134033203,22.775806427001953,0.2689105272293091,1.858667016029358,0.005865286609683995,0.0035088464696664268,0.030040822361707242,-0.021088709017130558,0.013239920019201268,-0.03002806668602842,-0.009637770447744831,0.0043,-0.0005,0.0,0.005865286609683995,0.0035088464696664268,0.030040822361707242,-0.021088709017130558,0.013239920019201268,-0.03002806668602842,-0.009637770447744831
2012-06-05,16.937576293945312,10.660499572753906,14.20660400390625,25.748647689819336,22.743894577026367,0.2767049968242645,1.8606669902801514,-0.002590736209604927,-0.001402111810917539,-0.0063585041619700355,0.02857323352110752,-0.014238635459715265,-0.03904211213252973,0.00107544761517131,-0.0097,0.0068000000000000005,0.0,-0.002590736209604927,-0.001402111810917539,-0.0063585041619700355,0.02857323352110752,-0.014238635459715265,-0.03904211213252973,0.00107544761517131
2012-06-06,17.19729232788086,10.881999969482422,14.459648132324219,26.684234619140625,23.41400909423828,0.28404107689857483,1.9479999542236328,0.015217345560163409,0.029037783329061817,0.020564763383894125,0.02616691940442073,0.01765495537740369,0.03569081848079714,0.0458681613517693,-0.009899999999999999,0.0232,0.0,0.015217345560163409,0.029037783329061817,0.020564763383894125,0.02616691940442073,0.01765495537740369,0.03569081848079714,0.0458681613517693
